"row","column","cor","p"
"deg_cent_total","deg_cent_out",0.483439642174686,0
"deg_cent_total","deg_cent_in",0.964873968405217,0
"deg_cent_out","deg_cent_in",0.236485050646866,0.000125768973791018
"deg_cent_total","wtd_deg_cent_total",0.506815421111243,0
"deg_cent_out","wtd_deg_cent_total",0.181992825913935,0.00335076266505574
"deg_cent_in","wtd_deg_cent_total",0.507926750076408,0
"deg_cent_total","wtd_deg_cent_out",0.500304490605283,0
"deg_cent_out","wtd_deg_cent_out",0.767367365747545,0
"deg_cent_in","wtd_deg_cent_out",0.325020711345328,9.24525975776191e-08
"wtd_deg_cent_total","wtd_deg_cent_out",0.338567282337848,2.44179494401919e-08
"deg_cent_total","wtd_deg_cent_in",0.445092151815999,5.88418203051333e-14
"deg_cent_out","wtd_deg_cent_in",0.0609085840579696,0.329812708584846
"deg_cent_in","wtd_deg_cent_in",0.47575541630984,4.44089209850063e-16
"wtd_deg_cent_total","wtd_deg_cent_in",0.987379307845075,0
"wtd_deg_cent_out","wtd_deg_cent_in",0.185274209110346,0.00281360801716368
"deg_cent_total","btw_cent",0.917314336952047,0
"deg_cent_out","btw_cent",0.529038922034561,0
"deg_cent_in","btw_cent",0.859411117606754,0
"wtd_deg_cent_total","btw_cent",0.42857405713703,5.97744076458184e-13
"wtd_deg_cent_out","btw_cent",0.52983625483873,0
"wtd_deg_cent_in","btw_cent",0.358409032829376,3.08479353172686e-09
"deg_cent_total","close_cent_total",0.983062374742295,0
"deg_cent_out","close_cent_total",0.420157053198192,1.85895743243236e-12
"deg_cent_in","close_cent_total",0.965065862414124,0
"wtd_deg_cent_total","close_cent_total",0.555823947265869,0
"wtd_deg_cent_out","close_cent_total",0.453775941881839,1.64313007644523e-14
"wtd_deg_cent_in","close_cent_total",0.504106313880414,0
"btw_cent","close_cent_total",0.882038535609732,0
"deg_cent_total","close_cent_out",0.485288590794469,0
"deg_cent_out","close_cent_out",0.995954231677471,0
"deg_cent_in","close_cent_out",0.239751503718829,0.000100594633109186
"wtd_deg_cent_total","close_cent_out",0.179003598938097,0.00391915461209535
"wtd_deg_cent_out","close_cent_out",0.77353575723693,0
"wtd_deg_cent_in","close_cent_out",0.0567485169901435,0.363972366210919
"btw_cent","close_cent_out",0.543693850082162,0
"close_cent_total","close_cent_out",0.420225025566017,1.84208204245806e-12
"deg_cent_total","close_cent_in",0.944251198616738,0
"deg_cent_out","close_cent_in",0.212973085910978,0.000573521926021003
"deg_cent_in","close_cent_in",0.984165801663818,0
"wtd_deg_cent_total","close_cent_in",0.566436591985013,0
"wtd_deg_cent_out","close_cent_in",0.318260689914159,1.754246659047e-07
"wtd_deg_cent_in","close_cent_in",0.537998836522297,0
"btw_cent","close_cent_in",0.847476302321579,0
"close_cent_total","close_cent_in",0.968140394590773,0
"close_cent_out","close_cent_in",0.215072430469523,0.000504046902494171
"deg_cent_total","eigen_cent",0.400889040159369,2.22122320536755e-11
"deg_cent_out","eigen_cent",0.0266871219307745,0.669631960393953
"deg_cent_in","eigen_cent",0.436962028789338,1.86961557346876e-13
"wtd_deg_cent_total","eigen_cent",0.917207397010486,0
"wtd_deg_cent_out","eigen_cent",0.220086272039351,0.000368442115537437
"wtd_deg_cent_in","eigen_cent",0.920855587809702,0
"btw_cent","eigen_cent",0.325897413424563,8.49850141371178e-08
"close_cent_total","eigen_cent",0.465324748841775,2.88657986402541e-15
"close_cent_out","eigen_cent",0.0223002472884629,0.721466130328863
"close_cent_in","eigen_cent",0.500486332314016,0
"deg_cent_total","component",NA,NA
"deg_cent_out","component",NA,NA
"deg_cent_in","component",NA,NA
"wtd_deg_cent_total","component",NA,NA
"wtd_deg_cent_out","component",NA,NA
"wtd_deg_cent_in","component",NA,NA
"btw_cent","component",NA,NA
"close_cent_total","component",NA,NA
"close_cent_out","component",NA,NA
"close_cent_in","component",NA,NA
"eigen_cent","component",NA,NA
"deg_cent_total","louvain_comm",-0.0529096599565061,0.397373565469679
"deg_cent_out","louvain_comm",0.192328510528724,0.0019139131661885
"deg_cent_in","louvain_comm",-0.116448160451108,0.0618023818210915
"wtd_deg_cent_total","louvain_comm",-0.0673215790371492,0.281338871364041
"wtd_deg_cent_out","louvain_comm",-0.0933880304020243,0.134648120726122
"wtd_deg_cent_in","louvain_comm",-0.0545898158127714,0.382534535071544
"btw_cent","louvain_comm",0.00546220232737305,0.930424641602272
"close_cent_total","louvain_comm",-0.069108396594568,0.268736101721365
"close_cent_out","louvain_comm",0.202340751657781,0.00108248164273483
"close_cent_in","louvain_comm",-0.131922687506958,0.034177776160436
"eigen_cent","louvain_comm",-0.114355491701787,0.0666654895513175
"component","louvain_comm",NA,NA
"deg_cent_total","fstgrdy_comm",-0.0565085742319424,0.366007474016105
"deg_cent_out","fstgrdy_comm",0.0953818752538727,0.126486132300107
"deg_cent_in","fstgrdy_comm",-0.0913477617763382,0.143413092190049
"wtd_deg_cent_total","fstgrdy_comm",-0.117431910190671,0.0596192568002156
"wtd_deg_cent_out","fstgrdy_comm",-0.359873964042473,2.63265564903747e-09
"wtd_deg_cent_in","fstgrdy_comm",-0.0620700916462311,0.320656339413888
"btw_cent","fstgrdy_comm",-0.0269789311624018,0.666235646506211
"close_cent_total","fstgrdy_comm",-0.0636244158032082,0.308664256967827
"close_cent_out","fstgrdy_comm",0.0988464116660921,0.113221009563835
"close_cent_in","fstgrdy_comm",-0.109896276093563,0.0780752738705175
"eigen_cent","fstgrdy_comm",-0.126580909211392,0.0422046803632758
"component","fstgrdy_comm",NA,NA
"louvain_comm","fstgrdy_comm",0.578596210612324,0
"deg_cent_total","page_rank",0.422319860528314,1.39310785129965e-12
"deg_cent_out","page_rank",0.0319509834040778,0.609458053250524
"deg_cent_in","page_rank",0.459169645065532,7.32747196252603e-15
"wtd_deg_cent_total","page_rank",0.956139638969,0
"wtd_deg_cent_out","page_rank",0.189150216092918,0.00228051218358205
"wtd_deg_cent_in","page_rank",0.966722006219408,0
"btw_cent","page_rank",0.338538662901418,2.4488400640621e-08
"close_cent_total","page_rank",0.487014467638692,0
"close_cent_out","page_rank",0.0274495708093412,0.660772290071563
"close_cent_in","page_rank",0.52221053617766,0
"eigen_cent","page_rank",0.985461149491562,0
"component","page_rank",NA,NA
"louvain_comm","page_rank",-0.0949140886943561,0.128365801996494
"fstgrdy_comm","page_rank",-0.0818944444598372,0.189778148280778
"deg_cent_total","alpha_cent",-0.113968867366614,0.0675973713128317
"deg_cent_out","alpha_cent",-0.0412795265956725,0.509183763269068
"deg_cent_in","alpha_cent",-0.114112432623047,0.0672500996053582
"wtd_deg_cent_total","alpha_cent",0.00454279857061838,0.94211312221774
"wtd_deg_cent_out","alpha_cent",-0.0309238170798743,0.621012135733524
"wtd_deg_cent_in","alpha_cent",0.00994923557126198,0.873640254299195
"btw_cent","alpha_cent",-0.0973812358379554,0.118691476811433
"close_cent_total","alpha_cent",-0.0964370181664105,0.122324606604517
"close_cent_out","alpha_cent",-0.0402545348034164,0.519766833879233
"close_cent_in","alpha_cent",-0.0953597409577365,0.126574589923623
"eigen_cent","alpha_cent",0.00477844039073849,0.939116099877621
"component","alpha_cent",NA,NA
"louvain_comm","alpha_cent",0.0359811135961468,0.565073390872588
"fstgrdy_comm","alpha_cent",0.0383812773165727,0.539395598876725
"page_rank","alpha_cent",0.00672386671913363,0.914409719101046
"deg_cent_total","auth_score",0.442773331531935,8.21565038222616e-14
"deg_cent_out","auth_score",0.0615714825227908,0.324566538197519
"deg_cent_in","auth_score",0.472982670982844,8.88178419700125e-16
"wtd_deg_cent_total","auth_score",0.988829700139027,0
"wtd_deg_cent_out","auth_score",0.201820058932896,0.00111579331235934
"wtd_deg_cent_in","auth_score",0.998729848208747,0
"btw_cent","auth_score",0.357219618409362,3.50635831480872e-09
"close_cent_total","auth_score",0.50233650991746,0
"close_cent_out","auth_score",0.0574437932200734,0.358115110241321
"close_cent_in","auth_score",0.536371177244633,0
"eigen_cent","auth_score",0.932711198131823,0
"component","auth_score",NA,NA
"louvain_comm","auth_score",-0.0648643218170151,0.299312162088964
"fstgrdy_comm","auth_score",-0.0848553370216831,0.174206124881539
"page_rank","auth_score",0.971226793425377,0
"alpha_cent","auth_score",0.00974995520202938,0.876150690194209
"deg_cent_total","hub_score",0.433817222320695,2.90212298637016e-13
"deg_cent_out","hub_score",0.6625985130676,0
"deg_cent_in","hub_score",0.282665045850601,3.97590370271317e-06
"wtd_deg_cent_total","hub_score",0.380189629610908,2.6868129943125e-10
"wtd_deg_cent_out","hub_score",0.955917555753328,0
"wtd_deg_cent_in","hub_score",0.236162793742491,0.000128549394470046
"btw_cent","hub_score",0.453105984480618,1.82076576038526e-14
"close_cent_total","hub_score",0.404240709533016,1.45918832572534e-11
"close_cent_out","hub_score",0.663363092885536,0
"close_cent_in","hub_score",0.286836865901916,2.81741992469442e-06
"eigen_cent","hub_score",0.294003972014461,1.53893958820817e-06
"component","hub_score",NA,NA
"louvain_comm","hub_score",-0.140191805268867,0.0243214939830643
"fstgrdy_comm","hub_score",-0.36997833187082,8.63054738786673e-10
